overtakes_per_lap,lead_changes_per_lap,weather_volatility,safety_car_freq,rating,gp_name,year,pit_stop_intensity,retirement_rate,championship_active,gap_before,gap_after,title_clinched,leader_changed,championship_tension
6.298245614035087,0.0,0.0,0.0350877192982456,5.78,Qatar Grand Prix,2023,0.9649122807017544,0.35,0,184.0,209.0,0,0,0.0
4.035714285714286,0.1071428571428571,0.0,0.0,6.34,United States Grand Prix,2023,0.6964285714285714,0.4,0,213.0,226.0,0,0,0.0
5.88,0.12,0.0,0.16,7.93,Las Vegas Grand Prix,2023,0.62,0.15,0,266.0,276.0,0,0,0.0
5.293103448275862,0.0517241379310344,0.0,0.0,5.34,Abu Dhabi Grand Prix,2023,0.6551724137931034,0.15,0,276.0,290.0,0,0,0.0
3.3157894736842106,0.0,0.0,0.0,2.86,Bahrain Grand Prix,2024,0.7543859649122807,0.5,1,0.0,8.0,0,0,1.0
1.8,0.04,0.0,0.04,4.5,Saudi Arabian Grand Prix,2024,0.4,0.4,1,8.0,15.0,0,0,0.9876
2.931034482758621,0.0172413793103448,0.0,0.1034482758620689,6.17,Australian Grand Prix,2024,0.6379310344827587,0.5263157894736842,1,15.0,4.0,0,0,0.9758
3.056603773584906,0.0754716981132075,0.0,0.0188679245283018,6.88,Japanese Grand Prix,2024,1.0377358490566038,0.55,1,4.0,13.0,0,0,0.9933
4.232142857142857,0.0357142857142857,0.0,0.1964285714285714,6.1,Chinese Grand Prix,2024,0.7321428571428571,0.15,1,15.0,25.0,0,0,0.9732
2.6491228070175437,0.0350877192982456,0.0,0.1403508771929824,7.63,Miami Grand Prix,2024,0.4912280701754385,0.05,1,27.0,33.0,0,0,0.9487
0.2307692307692307,0.0,0.0,0.0128205128205128,2.03,Monaco Grand Prix,2024,0.2948717948717949,0.65,1,48.0,31.0,0,0,0.8987
2.5714285714285716,0.0571428571428571,0.6650943396226415,0.0714285714285714,9.28,Canadian Grand Prix,2024,0.6428571428571429,0.3,1,31.0,56.0,0,0,0.9308
3.893939393939394,0.0757575757575757,0.0,0.0,6.23,Spanish Grand Prix,2024,0.6363636363636364,0.45,1,56.0,69.0,0,0,0.8673
3.1549295774647885,0.0422535211267605,0.0,0.056338028169014,8.04,Austrian Grand Prix,2024,0.647887323943662,0.4,1,71.0,81.0,0,0,0.817
1.5961538461538465,0.0961538461538461,0.2434963579604578,0.0,8.95,British Grand Prix,2024,0.8846153846153846,0.4,1,81.0,84.0,0,0,0.7762
3.342857142857143,0.0857142857142857,0.0,0.0,7.09,Hungarian Grand Prix,2024,0.5857142857142857,0.45,1,84.0,76.0,0,0,0.75
4.5,0.1363636363636363,0.0,0.0,7.71,Belgian Grand Prix,2024,0.7954545454545454,0.1,1,76.0,78.0,0,0,0.7548
2.4166666666666665,0.0416666666666666,0.0,0.0,3.93,Dutch Grand Prix,2024,0.3611111111111111,0.6,1,78.0,70.0,0,0,0.7254
3.9056603773584904,0.0943396226415094,0.0,0.0,7.81,Italian Grand Prix,2024,0.5849056603773585,0.35,1,70.0,62.0,0,0,0.7287
3.215686274509804,0.0588235294117647,0.0,0.3529411764705882,8.6,Azerbaijan Grand Prix,2024,0.4705882352941176,0.3,1,62.0,59.0,0,0,0.7328
2.2096774193548385,0.0,0.0,0.0,2.6,Singapore Grand Prix,2024,0.4032258064516129,0.65,1,59.0,52.0,0,0,0.7136
3.0714285714285716,0.0357142857142857,0.0,0.0357142857142857,7.63,United States Grand Prix,2024,0.4107142857142857,0.4,1,54.0,57.0,0,0,0.686
6.34,0.04,0.0,0.0,6.96,Las Vegas Grand Prix,2024,0.82,0.2,1,62.0,63.0,1,0,0.2791
2.1403508771929824,0.0,0.0,0.2456140350877192,6.28,Qatar Grand Prix,2024,1.0701754385964912,0.3,0,57.0,80.0,0,0,0.0
2.706896551724138,0.0,0.0,0.0689655172413793,6.25,Abu Dhabi Grand Prix,2024,0.5172413793103449,0.5,0,80.0,63.0,0,0,0.0
1.5964912280701755,0.0526315789473684,0.8090614886731392,0.3859649122807017,8.23,Australian Grand Prix,2025,1.4385964912280702,0.3,1,0.0,7.0,0,0,1.0
3.2142857142857144,0.0535714285714285,0.0,0.0,3.85,Chinese Grand Prix,2025,0.4642857142857143,0.35,1,2.0,8.0,0,0,0.9969
2.4150943396226414,0.0377358490566037,0.0,0.0,1.52,Japanese Grand Prix,2025,0.3962264150943396,0.05,1,8.0,1.0,0,0,0.9869
5.4035087719298245,0.0350877192982456,0.0,0.0701754385964912,7.38,Bahrain Grand Prix,2025,0.7543859649122807,0.1,1,1.0,3.0,0,0,0.9983
2.6,0.06,0.0,0.04,5.46,Saudi Arabian Grand Prix,2025,0.4,0.3,1,3.0,10.0,0,1,0.9946
1.7017543859649122,0.0175438596491228,0.0,0.2105263157894736,6.44,Miami Grand Prix,2025,0.3333333333333333,0.35,1,9.0,16.0,0,0,0.9829
3.6666666666666665,0.0,0.0,0.1428571428571428,6.91,Emilia Romagna Grand Prix,2025,0.5873015873015873,0.1,1,16.0,13.0,0,0,0.968
1.1923076923076923,0.0641025641025641,0.0,0.0512820512820512,1.68,Monaco Grand Prix,2025,0.5256410256410257,0.75,1,13.0,3.0,0,0,0.9726
3.4242424242424243,0.0303030303030303,0.0,0.0454545454545454,7.35,Spanish Grand Prix,2025,0.8333333333333334,0.1052631578947368,1,3.0,10.0,0,0,0.9933
3.1857142857142855,0.1142857142857142,0.0,0.0571428571428571,5.81,Canadian Grand Prix,2025,1.1857142857142855,0.6,1,10.0,22.0,0,0,0.9763
2.5714285714285716,0.0714285714285714,0.0,0.0285714285714285,6.67,Austrian Grand Prix,2025,0.4714285714285714,0.7,1,22.0,15.0,0,0,0.9444
3.019230769230769,0.0384615384615384,0.7360774818401937,0.3269230769230769,8.89,British Grand Prix,2025,0.6923076923076923,0.3,1,15.0,8.0,0,0,0.9595
1.8863636363636365,0.0681818181818181,0.2718998862343572,0.0454545454545454,2.93,Belgian Grand Prix,2025,0.5909090909090909,0.05,1,9.0,16.0,0,0,0.9732
2.871428571428571,0.0571428571428571,0.0,0.0,5.83,Hungarian Grand Prix,2025,0.4285714285714285,0.55,1,16.0,9.0,0,0,0.9484
2.375,0.0,0.0,0.1527777777777778,7.57,Dutch Grand Prix,2025,0.5555555555555556,0.15,1,9.0,34.0,0,0,0.9683
3.037735849056604,0.0754716981132075,0.0,0.0,4.78,Italian Grand Prix,2025,0.3773584905660377,0.3,1,34.0,31.0,0,0,0.8682
2.4313725490196076,0.0,0.0,0.0392156862745098,5.9,Azerbaijan Grand Prix,2025,0.4117647058823529,0.15,1,31.0,25.0,0,0,0.8664
2.8225806451612905,0.032258064516129,0.0,0.0,3.17,Singapore Grand Prix,2025,0.3709677419354839,0.55,1,25.0,22.0,0,0,0.8786
2.9107142857142856,0.0,0.0,0.0714285714285714,5.8,United States Grand Prix,2025,0.375,0.2,1,22.0,14.0,0,0,0.8721
2.36,0.0,0.0,0.16,5.53,Las Vegas Grand Prix,2025,0.5,0.35,1,24.0,24.0,0,0,0.7209
1.5789473684210529,0.087719298245614,0.0,0.0350877192982456,5.05,Qatar Grand Prix,2025,0.7719298245614035,0.35,1,22.0,12.0,0,0,0.5769
4.517241379310345,0.0344827586206896,0.0,0.0,4.28,Abu Dhabi Grand Prix,2025,0.4655172413793103,0.2,1,12.0,2.0,1,0,0.5385
1.7391304347826086,0.0,0.0,0.0,7.82,Austrian Grand Prix Sprint,2022,0.0434782608695652,0.1,1,34.0,38.0,0,0,0.8963
1.8823529411764703,0.0588235294117647,0.0,0.2352941176470588,3.772277227722772,Azerbaijan Grand Prix Sprint,2023,0.2941176470588235,0.1,1,15.0,13.0,0,0,0.9723
4.25,0.0,0.8395833333333333,0.0,6.455445544554456,Austrian Grand Prix Sprint,2023,0.4583333333333333,0.0,1,69.0,70.0,0,0,0.8292
4.090909090909091,0.1818181818181818,1.0,0.3636363636363636,5.454545454545454,Belgian Grand Prix Sprint,2023,1.0,0.1,1,110.0,118.0,0,0,0.6541
4.2105263157894735,0.1052631578947368,0.0,0.3157894736842105,5.252525252525253,Qatar Grand Prix Sprint,2023,0.2105263157894736,0.25,1,177.0,184.0,1,0,0.0167
1.894736842105263,0.0,0.0,0.0,6.782178217821782,United States Grand Prix Sprint,2023,0.0526315789473684,0.05,0,209.0,213.0,0,0,0.0
2.3684210526315788,0.0526315789473684,0.0,0.0,5.97,Chinese Grand Prix Sprint,2024,0.1052631578947368,0.05,1,13.0,15.0,0,0,0.9771
0.7894736842105263,0.0,0.0,0.1578947368421052,7.42,Miami Grand Prix Sprint,2024,2.0,0.1,1,25.0,27.0,0,0,0.9532
0.6956521739130435,0.0,0.0,0.0,7.777777777777778,Austrian Grand Prix Sprint,2024,0.0,0.0,1,69.0,71.0,0,0,0.8258
1.894736842105263,0.0,0.0,0.0,6.77,United States Grand Prix Sprint,2024,0.0,0.0,1,52.0,54.0,0,0,0.7111
1.0,0.0526315789473684,0.0,0.0,4.861386138613861,Qatar Grand Prix Sprint,2024,0.1052631578947368,0.0,0,63.0,57.0,0,0,0.0
2.210526315789474,0.0,0.0,0.0,5.089108910891089,Chinese Grand Prix Sprint,2025,0.0526315789473684,0.0,1,7.0,2.0,0,0,0.9892
4.111111111111111,0.1111111111111111,0.6978851963746223,0.2777777777777778,5.0,Miami Grand Prix Sprint,2025,1.1666666666666667,0.15,1,10.0,9.0,0,0,0.9813
0.5333333333333333,0.0,0.0,0.0,4.69,Belgian Grand Prix Sprint,2025,0.0666666666666666,0.05,1,8.0,9.0,0,0,0.9767
1.105263157894737,0.0,0.0,0.2631578947368421,4.99,United States Grand Prix Sprint,2025,0.1578947368421052,0.25,1,22.0,22.0,0,0,0.8778
0.5263157894736842,0.0,0.0,0.0,5.42,Qatar Grand Prix Sprint,2025,0.1578947368421052,0.0,1,24.0,22.0,0,0,0.6
1.887323943661972,0.0422535211267605,0.0,0.056338028169014,2.0816326530612246,Mexico City Grand Prix,2022,0.3380281690140845,0.1,0,124.0,136.0,0,0,0.0
1.1551724137931034,0.0172413793103448,0.0,0.0689655172413793,5.933333333333334,Australian Grand Prix,2018,0.3793103448275862,0.25,1,0.0,7.0,0,0,1.0
4.964912280701754,0.0701754385964912,0.0,0.0701754385964912,8.857925257731958,Bahrain Grand Prix,2018,0.5964912280701754,0.15,1,7.0,17.0,0,0,0.9865
3.482142857142857,0.0535714285714285,0.0,0.0357142857142857,8.490696071674707,Chinese Grand Prix,2018,0.5535714285714286,0.05,1,17.0,9.0,0,0,0.9656
3.2941176470588234,0.0392156862745098,0.0,0.1568627450980392,9.193861693861692,Azerbaijan Grand Prix,2018,0.7058823529411765,0.35,1,9.0,4.0,0,1,0.9808
1.6515151515151516,0.0303030303030303,0.0,0.0909090909090909,3.3,Spanish Grand Prix,2018,0.3484848484848485,0.3,1,4.0,17.0,0,0,0.991
1.3205128205128205,0.0,0.0,0.0512820512820512,4.197134387351778,Monaco Grand Prix,2018,0.3461538461538461,0.15,1,17.0,14.0,0,0,0.9591
1.4142857142857144,0.0,0.0,0.0285714285714285,2.4642464246424645,Canadian Grand Prix,2018,0.3,0.15,1,14.0,1.0,0,1,0.9641
3.018867924528302,0.0377358490566037,0.0,0.1509433962264151,6.6169275929549904,French Grand Prix,2018,0.4150943396226415,0.25,1,1.0,14.0,0,1,0.9973
2.4507042253521125,0.0140845070422535,0.0,0.056338028169014,8.791698991466252,Austrian Grand Prix,2018,0.3380281690140845,0.3,1,14.0,1.0,0,1,0.9586
3.230769230769231,0.0769230769230769,0.0,0.1153846153846153,9.095884413309982,British Grand Prix,2018,0.5576923076923077,0.3,1,1.0,8.0,0,0,0.9968
3.5671641791044775,0.0746268656716417,0.0279552715654952,0.0597014925373134,7.989130434782608,German Grand Prix,2018,0.6268656716417911,0.25,1,8.0,17.0,0,1,0.972
1.542857142857143,0.0285714285714285,0.0,0.1142857142857142,4.8658410732714135,Hungarian Grand Prix,2018,0.2857142857142857,0.15,1,17.0,24.0,0,0,0.9346
1.4772727272727273,0.0,0.0,0.0909090909090909,4.3261455525606465,Belgian Grand Prix,2018,0.8409090909090909,0.25,1,24.0,17.0,0,0,0.8974
2.5283018867924527,0.0754716981132075,0.0,0.0377358490566037,7.849946977730646,Italian Grand Prix,2018,0.4150943396226415,0.2,1,17.0,30.0,0,0,0.9183
1.8032786885245904,0.0655737704918032,0.0,0.0327868852459016,4.165457184325109,Singapore Grand Prix,2018,0.4098360655737705,0.05,1,30.0,40.0,0,0,0.8352
2.2452830188679247,0.0754716981132075,0.0,0.0,4.458525345622119,Russian Grand Prix,2018,0.4150943396226415,0.1,1,40.0,50.0,0,0,0.7436
3.924528301886793,0.0,0.0,0.1132075471698113,6.9188311688311686,Japanese Grand Prix,2018,0.4716981132075472,0.15,1,50.0,67.0,0,0,0.6154
2.125,0.0714285714285714,0.0,0.0714285714285714,9.38168449197861,United States Grand Prix,2018,0.4821428571428571,0.3,1,67.0,70.0,0,0,0.3558
